SMILES,Hit
Cc1ccc(NC(=O)c2ccc3c(c2)C(=O)N(c2cccc([N+](=O)[O-])c2)C3=O)cc1,0
O=C(Nc1nn[nH]n1)c1ccccc1,0
Oc1ccc(C=Nn2cnnc2)c(O)c1,0
N#Cc1c(SCC(=O)OCc2ccccc2)nc2c(c1-c1ccccc1)CCCC2,0
CC(C)Cn1c(=O)c2sccc2n2c(=O)n(Cc3ccc(Br)cc3)nc12,0
O=C(CCc1nnc2c(N3CCCCC3)nc3ccccc3n12)NCc1ccc2c(c1)OCO2,0
C=Cc1ccc(Cn2nc3c(=O)n(-c4cccc(Cl)c4C)ccn3c2=O)cc1,0
CCC(Sc1nnc2c(=O)n(-c3cccc(OC)c3)ccn12)C(=O)Nc1cc(F)ccc1F,0
CC1CCN(C(=O)C(=O)N/N=C/c2ccccc2)CC1,0
Brc1ccc(/C=N/Nc2nc(-c3ccc(I)cc3)cs2)cc1,0
Cc1ccc(N(CC(=O)N/N=C/c2cccc(C(F)(F)F)c2)S(=O)(=O)c2ccccc2)cc1Cl,0
COc1ccccc1/C=N/Nc1nc(-c2ccc(-c3ccccc3)cc2)cs1,0
Cc1ccc(COc2ccc(/C=N/NC(=O)C(=O)N3CCCC3)cc2)cc1,0
N#Cc1c(-c2ccc(Br)cc2)cc(-c2ccccc2)nc1SCC(=O)Nc1ccc(Br)cc1,0
COc1ccc(CNC(=O)Cn2nc3c(N4CCN(c5ccccc5)CC4)nccn3c2=O)cc1,0
CCCCCCCCCCCCCC(=O)N/N=C/c1cccc(Oc2ccccc2)c1,0
O=c1[nH]c2c(Br)c(Br)c(Br)cc2o1,1
O=C(Cc1cccc2ccccc12)Oc1ccc(/C=N/c2ccc(N=Nc3ccccc3)cc2)cc1[N+](=O)[O-],0
Cc1ccc(C(=O)N/N=C/c2ccc(OC(=O)c3ccccc3Br)cc2)cn1,0
CCCCc1ccc(NC(=O)Cn2nc3c(N4CCN(c5ccccc5C)CC4)nccn3c2=O)cc1,0
COC(=O)c1cc(Br)c(OC(=S)N(CC(C)C)CC(C)C)c(Br)c1,0
Cc1ccc(OCC(=O)Nc2ccc(Br)cc2)cc1,0
CCCN(C)c1nccn2c(=O)n(CC(=O)Nc3cccc(Cl)c3F)nc12,0
CCCN(C)c1nccn2c(=O)n(CC(=O)Nc3ccc(C#N)cc3)nc12,0
CCc1ccccc1Sc1nccn2c(=O)n(CC(=O)Nc3c(C)cccc3C)nc12,0
Cc1ccccc1CSc1nnc2c(=O)n(-c3ccc(F)cc3)ccn12,0
Cc1ccc(NC(=O)Cn2c(=O)c3nnc(C(C)C)n3c3ccccc32)c(C)c1,0
COc1ccc(NC(=O)Cn2nc3c(N4CCOCC4)nccn3c2=O)cc1Cl,0
Cc1nnc2c(S(=O)(=O)N(Cc3cc(F)cc(F)c3)c3cccc(F)c3)cccn12,0
COc1ccccc1OCC(=O)NN=Cc1cc(O)c(O)c(Br)c1Br,1
CCOC(=O)CSc1nc(-c2ccccc2)cc(-c2ccccc2)c1C#N,0
COC(=O)c1ccc2c(c1)C(=O)N(c1ccccc1C)C2=O,0
CCN(CC)c1ccc(/C=N/Nc2nc(Nc3ccc([N+](=O)[O-])cc3)nc(N3CCN(C)CC3)n2)cc1,0
CCOc1ccc(-n2ccn3c(SCc4cccc(C(F)(F)F)c4)nnc3c2=O)cc1,0
CCCCOc1ccc(-c2cc3c4nnc(SCC(=O)Nc5ccc(C)c(C)c5)n4ccn3n2)cc1,0
Cc1ccc(-c2cc3c4nn(CC(=O)Nc5cc(Cl)ccc5C)c(=O)n4ccn3n2)cc1C,0
CCOc1ccccc1CNC(=O)CCc1nnc2ccc(-c3ccccc3)nn12,0
COc1ccc(Cl)cc1NC(=O)CSc1nc2ccccc2n2cnnc12,0
CCn1c2ccccc2c2cc(C3C(C(=O)OCCOC)=C(C)N=C4CCCC(=O)C43)ccc21,0
COc1cc(C2CC(=O)Nc3ccc4ccccc4c32)ccc1OCc1ccccc1,0
Cc1cccc(NS(=O)(=O)c2ccc3c(c2)oc(=O)n3C(=O)NC2CCCCC2)c1,0
O=C(CCN1CCN(CCO)CC1)Nc1ccc(F)cc1,0
COc1ccc([N+](=O)[O-])cc1NC(=O)c1ccccc1NC(=O)c1ccc([N+](=O)[O-])cc1,0
